Date,Start (ET),Visitor,Visitor PTS,Home,Home PTS,,,Attend.,Notes
Mon Nov 25 2019,7:00p,MEM,114,IND,126,Box Score,,15141,
Mon Nov 25 2019,7:30p,MIN,125,ATL,113,Box Score,,16218,
Mon Nov 25 2019,7:30p,SAC,102,BOS,103,Box Score,,19156,
Mon Nov 25 2019,7:30p,CHO,100,MIA,117,Box Score,,19600,
Mon Nov 25 2019,7:30p,PHI,96,TOR,101,Box Score,,19800,
Mon Nov 25 2019,8:00p,POR,117,CHI,94,Box Score,,18776,
Mon Nov 25 2019,8:00p,UTA,118,MIL,122,Box Score,,17385,
Mon Nov 25 2019,8:30p,LAL,114,SAS,104,Box Score,,18498,
Mon Nov 25 2019,10:30p,OKC,100,GSW,97,Box Score,,18064,
Tue Nov 26 2019,8:30p,LAC,114,DAL,99,Box Score,,20407,
Tue Nov 26 2019,9:00p,WAS,104,DEN,117,Box Score,,18673,
Wed Nov 27 2019,7:00p,BRK,110,BOS,121,Box Score,,19156,
Wed Nov 27 2019,7:00p,DET,101,CHO,102,Box Score,,15535,
Wed Nov 27 2019,7:00p,ORL,116,CLE,104,Box Score,,17712,
Wed Nov 27 2019,7:00p,UTA,102,IND,121,Box Score,,17027,
Wed Nov 27 2019,7:00p,SAC,91,PHI,97,Box Score,,20592,
Wed Nov 27 2019,7:30p,NYK,98,TOR,126,Box Score,,19800,
Wed Nov 27 2019,8:00p,MIA,108,HOU,117,Box Score,,18055,
Wed Nov 27 2019,8:00p,LAC,121,MEM,119,Box Score,,16721,
Wed Nov 27 2019,8:00p,ATL,102,MIL,111,Box Score,,17525,
Wed Nov 27 2019,8:30p,MIN,113,SAS,101,Box Score,,18354,
Wed Nov 27 2019,9:00p,WAS,140,PHO,132,Box Score,,14123,
Wed Nov 27 2019,9:30p,LAL,114,NOP,110,Box Score,,18626,
Wed Nov 27 2019,10:00p,OKC,119,POR,136,Box Score,,19870,
Wed Nov 27 2019,10:30p,CHI,90,GSW,104,Box Score,,18064,
Fri Nov 29 2019,12:00p,BOS,107,BRK,112,Box Score,,17732,
Fri Nov 29 2019,7:00p,CHO,110,DET,107,Box Score,,15006,
Fri Nov 29 2019,7:00p,TOR,90,ORL,83,Box Score,,17014,
Fri Nov 29 2019,7:30p,MIL,119,CLE,110,Box Score,,19432,
Fri Nov 29 2019,7:30p,PHI,101,NYK,95,Box Score,,18109,
Fri Nov 29 2019,8:00p,ATL,104,IND,105,Box Score,OT,15827,
Fri Nov 29 2019,8:00p,UTA,103,MEM,94,Box Score,,16605,
Fri Nov 29 2019,8:00p,GSW,105,MIA,122,Box Score,,19600,
Fri Nov 29 2019,8:00p,NOP,104,OKC,109,Box Score,,18203,
Fri Nov 29 2019,8:30p,LAC,97,SAS,107,Box Score,,18354,
Fri Nov 29 2019,9:00p,DAL,120,PHO,113,Box Score,,18055,
Fri Nov 29 2019,10:00p,CHI,103,POR,107,Box Score,,20139,
Fri Nov 29 2019,10:30p,WAS,103,LAL,125,Box Score,,18997,
Sat Nov 30 2019,5:00p,DEN,97,SAC,100,Box Score,OT,17583,
Sat Nov 30 2019,7:00p,IND,116,PHI,119,Box Score,,20517,
Sat Nov 30 2019,8:00p,ATL,111,HOU,158,Box Score,,18055,
Sat Nov 30 2019,8:00p,CHO,96,MIL,137,Box Score,,17550,
Sun Dec 1 2019,3:00p,MIA,109,BRK,106,Box Score,,17026,
Sun Dec 1 2019,3:30p,MEM,115,MIN,107,Box Score,,12276,
Sun Dec 1 2019,3:30p,BOS,113,NYK,104,Box Score,,18005,
Sun Dec 1 2019,4:00p,DAL,114,LAL,100,Box Score,,18997,
Sun Dec 1 2019,5:00p,SAS,98,DET,132,Box Score,,14270,
Sun Dec 1 2019,5:00p,OKC,107,NOP,104,Box Score,,15427,
Sun Dec 1 2019,6:00p,GSW,96,ORL,100,Box Score,,15052,
Sun Dec 1 2019,6:00p,UTA,110,TOR,130,Box Score,,18132,
Sun Dec 1 2019,10:30p,WAS,125,LAC,150,Box Score,,19068,
Mon Dec 2 2019,7:00p,PHO,109,CHO,104,Box Score,,11221,
Mon Dec 2 2019,7:00p,UTA,94,PHI,103,Box Score,,20208,
Mon Dec 2 2019,7:30p,GSW,79,ATL,104,Box Score,,14278,
Mon Dec 2 2019,8:00p,IND,117,MEM,104,Box Score,,11919,
Mon Dec 2 2019,8:00p,NYK,88,MIL,132,Box Score,,17385,
Mon Dec 2 2019,10:00p,CHI,113,SAC,106,Box Score,,17257,
Tue Dec 3 2019,7:00p,DET,127,CLE,94,Box Score,,17504,
Tue Dec 3 2019,7:00p,ORL,127,WAS,120,Box Score,,13159,
Tue Dec 3 2019,7:30p,DAL,118,NOP,97,Box Score,,14664,
Tue Dec 3 2019,7:30p,MIA,121,TOR,110,Box Score,OT,19800,
Tue Dec 3 2019,8:30p,HOU,133,SAS,135,Box Score,2OT,18354,
Tue Dec 3 2019,9:00p,LAL,105,DEN,96,Box Score,,19658,
Tue Dec 3 2019,10:00p,POR,97,LAC,117,Box Score,,19068,
Wed Dec 4 2019,7:00p,GSW,91,CHO,106,Box Score,,14355,
Wed Dec 4 2019,7:00p,MIL,127,DET,103,Box Score,,15742,
Wed Dec 4 2019,7:00p,PHO,114,ORL,128,Box Score,,15176,
Wed Dec 4 2019,7:30p,BRK,130,ATL,118,Box Score,,15694,
Wed Dec 4 2019,7:30p,MIA,93,BOS,112,Box Score,,19156,
Wed Dec 4 2019,8:00p,MEM,99,CHI,106,Box Score,,15017,
Wed Dec 4 2019,8:00p,IND,107,OKC,100,Box Score,,18203,
Wed Dec 4 2019,8:30p,MIN,114,DAL,121,Box Score,,19671,
Wed Dec 4 2019,9:00p,LAL,121,UTA,96,Box Score,,18306,
Wed Dec 4 2019,10:00p,SAC,116,POR,127,Box Score,,19393,
Thu Dec 5 2019,7:00p,PHI,113,WAS,119,Box Score,,16554,
Thu Dec 5 2019,7:30p,DEN,129,NYK,92,Box Score,,18171,
Thu Dec 5 2019,7:30p,HOU,119,TOR,109,Box Score,,19800,
Thu Dec 5 2019,8:00p,PHO,139,NOP,132,Box Score,OT,15607,
Fri Dec 6 2019,7:00p,BRK,111,CHO,104,Box Score,,15075,
Fri Dec 6 2019,7:00p,ORL,93,CLE,87,Box Score,,18446,
